Team,In Refine,In Dev,In Test,Ready For Dev,Ready For Test,Ready For Accept
YELLOWSTON,18.79,7.14,0.00,6.99,0.00,0.00
YELLOWSTON,8.88,0.00,19.93,48.96,12.32,0.53
YELLOWSTON,11.06,15.01,12.92,16.92,0.05,25.21
YELLOWSTON,16.21,0.98,1.08,46.87,0.87,4.02
YELLOWSTON,2.19,1.09,7.11,51.91,1.72,5.22
YELLOWSTON,4.86,0.87,8.09,49.10,1.02,5.16
YELLOWSTON,7.10,9.99,8.07,36.80,0.15,5.93
YELLOWSTON,10.24,1.32,3.02,38.69,9.66,0.22
YELLOWSTON,10.13,1.48,3.02,40.30,7.90,0.22
YELLOWSTON,7.10,7.97,6.92,34.82,1.00,4.07
YELLOWSTON,14.00,13.96,0.21,22.05,4.95,4.76
YELLOWSTON,20.04,1.00,0.00,26.95,7.06,3.91
YELLOWSTON,19.82,0.93,7.80,26.01,0.25,3.91
YELLOWSTON,0.00,7.09,0.00,42.06,0.00,0.03
YELLOWSTON,0.00,32.98,0.00,13.89,0.01,2.04
YELLOWSTON,4.21,1.01,0.13,29.77,12.01,0.96
YELLOWSTON,3.27,1.01,8.14,30.76,3.96,0.15
YELLOWSTON,19.19,11.19,0.00,12.74,0.00,2.82
YELLOWSTON,14.11,1.69,7.06,12.26,4.98,5.03
YELLOWSTON,25.17,0.73,7.02,8.01,0.02,3.91
YELLOWSTON,10.13,0.04,6.12,20.01,7.60,0.19
YELLOWSTON,15.23,0.95,7.02,8.07,6.79,4.11
YELLOWSTON,14.77,2.03,7.31,13.95,3.95,0.01
YELLOWSTON,40.09,0.00,0.00,0.00,0.00,0.12
YELLOWSTON,14.01,8.20,0.00,17.93,0.00,0.00
YELLOWSTON,7.01,0.07,8.08,19.06,0.84,5.01
YELLOWSTON,7.01,0.07,7.08,19.17,1.73,5.01
YELLOWSTON,6.74,0.00,7.03,18.09,3.11,3.82
YELLOWSTON,0.82,0.00,2.91,16.42,15.83,0.18
YELLOWSTON,7.01,0.16,7.08,19.07,1.74,0.89
YELLOWSTON,16.11,3.90,3.73,8.07,0.09,3.16
YELLOWSTON,6.74,0.00,5.87,18.10,3.11,0.88
YELLOWSTON,11.04,1.84,11.11,8.06,0.94,0.05
YELLOWSTON,18.03,3.81,0.00,7.04,0.00,2.96
YELLOWSTON,5.24,6.07,15.95,1.85,1.81,0.19
YELLOWSTON,13.12,5.91,0.82,9.03,0.00,0.28
YELLOWSTON,11.05,0.13,3.27,9.99,3.74,0.72
YELLOWSTON,12.95,2.88,6.90,0.08,3.03,1.95
YELLOWSTON,8.70,1.09,5.07,11.16,1.69,0.06
YELLOWSTON,3.93,0.00,0.00,23.29,0.00,0.00
YELLOWSTON,0.00,0.00,0.00,0.00,24.12,2.83
YELLOWSTON,7.09,0.06,4.51,8.01,1.22,3.27
YELLOWSTON,11.83,5.32,4.12,2.98,1.68,0.03
