TeamName,StoryPts,Deployed,Priority,LeadTime
ODYSSEY,3,TRUE,3,133.8415794
ODYSSEY,2,TRUE,3,133.1544055
ODYSSEY,5,TRUE,1,126.8949384
DENALI,8,TRUE,2,120.7819551
DENALI,8,TRUE,3,120.1294639
ODYSSEY,5,TRUE,3,118.920608
MATRIX,5,TRUE,3,117.809638
MATRIX,0,TRUE,3,117.701935
MATRIX,3,FALSE,3,116.9838427
VOYAGEURS,2,TRUE,3,116.0772547
ASSESS,1,TRUE,3,116.0185283
ODYSSEY,5,TRUE,1,115.8977902
VOYAGEURS,1,TRUE,3,115.031844
BR,5,TRUE,3,113.8739523
ODYSSEY,3,TRUE,1,113.8704491
ODYSSEY,3,TRUE,1,112.7955811
ODYSSEY,3,TRUE,1,111.9526015
ODYSSEY,2,TRUE,1,111.7482864
ODYSSEY,5,TRUE,1,110.9726445
MATRIX,0,TRUE,3,110.020215
ODYSSEY,3,TRUE,1,109.0035204
MATRIX,1,TRUE,3,108.8825706
KMJ,8,TRUE,3,108.0561008
BADLANDS,5,TRUE,3,106.7739672
YELLOWSTON,8,FALSE,2,106.0469611
MATRIX,2,TRUE,3,105.8736225
MATRIX,2,TRUE,3,105.8668233
ACADIA,1,TRUE,3,104.8679698
ACADIA,2,FALSE,2,103.9350637
ACADIA,8,TRUE,2,102.0431548
KMJ,5,TRUE,3,101.0346721
ACADIA,8,TRUE,2,100.0243779
ODYSSEY,3,TRUE,1,100.0199631
ACADIA,8,TRUE,2,99.76949598
VOYAGEURS,1,TRUE,3,98.99335675
MATRIX,0,TRUE,3,98.78427543
MATRIX,3,TRUE,3,98.56339456
MATRIX,0,FALSE,3,97.75198052
SAHARA,3,TRUE,3,97.63547936
VOYAGEURS,3,TRUE,1,97.18151326
SAHARA,3,TRUE,3,96.12891898
ASSESS,5,FALSE,1,95.91654144
ASSESS,1,TRUE,3,95.67705007
MATRIX,0,FALSE,,93.60652998
MATRIX,0,TRUE,3,91.10476984
ODYSSEY,2,TRUE,1,90.88504544
YELLOWSTON,1,TRUE,3,90.63279625
ASSESS,3,TRUE,3,90.06171744
ACADIA,5,FALSE,1,90.02129094
ASSESS,5,FALSE,3,88.92760663
DENALI,3,TRUE,3,87.99545486
PNL,3,FALSE,3,87.97749301
DENALI,5,TRUE,3,87.94518588
FJORD,5,TRUE,3,86.96852639
DENALI,4,TRUE,3,86.90653919
KMJ,5,FALSE,3,86.13705066
ODYSSEY,3,TRUE,1,85.74670027
VOYAGEURS,8,TRUE,3,85.14776262
ODYSSEY,5,TRUE,3,85.07151799
VOYAGEURS,8,TRUE,2,85.02082913
VOYAGEURS,5,TRUE,3,85.00805969
DENALI,4,TRUE,4,83.8512483
DENALI,4,TRUE,4,83.82371998
MATRIX,3,TRUE,3,82.78795093
ASSESS,1,FALSE,3,82.73117948
ODYSSEY,5,TRUE,1,82.7029309
ENT,2,TRUE,3,82.04433742
ENT,5,TRUE,3,82.04420362
ENT,1,TRUE,3,82.04381563
YELLOWSTON,5,TRUE,4,81.98371794
ORYON,5,FALSE,1,81.97633444
ACADIA,5,FALSE,2,81.96884891
ORYON,5,FALSE,1,81.95688603
ORYON,2,FALSE,1,81.95683793
ORYON,3,FALSE,1,81.95678623
ORYON,3,FALSE,1,81.94852006
ASSESS,8,TRUE,2,81.91863785
ASSESS,2,TRUE,1,81.88727426
ODYSSEY,3,TRUE,1,81.74589598
MATRIX,3,TRUE,3,81.71293264
VOYAGEURS,5,TRUE,2,81.16296675
ODYSSEY,2,TRUE,1,80.9272326
MATRIX,0,TRUE,3,79.11943391
DENALI,3,TRUE,4,79.02915486
MATRIX,0,TRUE,3,78.18337407
ASSESS,2,FALSE,3,78.14369924
ACADIA,5,TRUE,3,78.02342292
ASSESS,5,TRUE,3,77.93504803
ASSESS,5,TRUE,3,77.88132192
DENALI,5,TRUE,3,77.87738282
KMJ,5,TRUE,3,77.84545741
MATRIX,3,FALSE,3,77.71716197
MATRIX,1,TRUE,3,77.68202497
MATRIX,1,TRUE,3,77.68149591
VOYAGEURS,5,TRUE,3,77.0544924
VOYAGEURS,3,FALSE,2,77.05019472
ACADIA,8,TRUE,2,77.03884124
KMJ,5,TRUE,3,76.95268037
